N,P,K,temperature,humidity,ph,water_oxygen,water_temp,fish_density,label
108,29,55,24.2,57.6,6.1,5.6,18.4,1.6,Basil
101,39,57,21.9,53.4,6.2,9.1,19.2,1.3,Basil
107,38,64,25.9,68.9,5.8,6.3,22.6,0.8,Basil
79,40,47,24.4,67.5,5.7,5.6,22.6,1.1,Basil
107,31,61,20.9,63.5,5.8,9.6,18.4,2.0,Basil
76,43,67,24.2,62.7,6.1,5.8,21.6,1.0,Basil
93,33,64,21.7,55.7,6.4,6.8,27.9,1.4,Basil
70,28,41,25.3,69.1,6.0,6.8,18.5,1.5,Basil
79,47,57,25.7,51.9,6.2,7.9,24.7,0.9,Basil
104,45,70,26.0,54.5,6.1,5.2,25.4,1.9,Basil
106,41,52,29.5,51.4,6.0,6.4,27.9,0.8,Basil
82,35,50,26.7,56.5,6.2,5.2,23.5,1.4,Basil
91,38,53,28.8,52.0,5.7,5.8,26.4,1.4,Basil
98,43,49,29.9,57.0,6.3,6.0,18.1,1.9,Basil
89,30,46,27.2,61.8,6.1,9.4,23.3,0.9,Basil
106,45,41,27.4,54.9,5.8,9.2,23.2,0.6,Basil
78,41,51,27.2,67.3,6.3,5.1,19.9,1.2,Basil
85,48,70,22.0,50.3,6.3,8.4,21.9,1.4,Basil
89,32,51,28.9,51.6,5.7,6.5,26.7,1.7,Basil
99,33,40,26.0,59.0,6.1,5.8,22.2,0.8,Basil
76,31,40,25.9,69.0,5.5,8.5,25.4,1.9,Basil
105,44,57,27.6,61.8,6.5,9.0,21.2,0.8,Basil
78,34,62,23.8,63.9,5.8,7.7,26.1,1.1,Basil
80,46,58,29.4,53.4,5.9,5.6,21.3,1.1,Basil
110,31,42,20.6,65.9,5.9,8.5,20.6,0.6,Basil
104,49,41,28.0,51.9,5.7,7.9,19.5,1.9,Basil
77,41,54,20.1,55.3,6.0,5.1,18.7,0.8,Basil
103,44,50,23.9,55.5,6.3,7.9,25.7,1.2,Basil
81,37,57,27.3,60.5,6.1,6.7,24.1,1.3,Basil
103,43,68,20.7,56.2,5.8,6.3,21.0,0.6,Basil
85,35,63,25.4,58.6,5.5,5.3,21.6,1.7,Basil
102,36,51,24.1,62.1,5.8,7.5,18.5,0.6,Basil
91,40,45,28.5,58.0,6.1,9.4,20.8,1.4,Basil
81,38,68,28.9,63.4,6.5,7.7,20.7,1.1,Basil
70,41,58,27.2,60.2,6.0,7.3,21.9,1.9,Basil
72,33,47,28.6,53.8,6.4,9.7,26.9,1.3,Basil
81,47,40,21.3,66.5,6.4,7.4,23.0,1.6,Basil
104,29,47,28.0,69.3,6.0,8.8,21.0,1.1,Basil
109,48,52,30.0,63.1,6.5,8.5,22.0,1.2,Basil
91,32,61,26.6,63.8,5.5,6.1,22.0,1.6,Basil
97,26,51,24.0,63.1,6.5,5.1,22.1,0.7,Basil
76,28,69,28.1,66.6,6.5,5.7,19.1,1.0,Basil
108,32,53,24.0,57.3,5.6,8.7,18.0,1.5,Basil
107,39,70,26.0,50.1,5.8,6.5,25.6,1.0,Basil
81,33,59,25.5,54.3,6.0,9.8,24.5,1.8,Basil
100,35,40,29.0,51.1,5.5,7.1,22.9,1.7,Basil
72,49,58,20.9,69.8,6.4,7.7,20.0,1.1,Basil
70,36,49,22.1,50.1,6.0,7.8,28.0,1.0,Basil
103,43,68,28.1,54.6,5.7,6.0,20.7,1.5,Basil
80,25,59,27.9,61.1,5.8,8.0,22.4,1.4,Basil
76,26,57,20.7,69.6,5.6,6.4,25.1,0.6,Basil
85,25,47,26.2,51.5,6.1,5.3,22.2,1.0,Basil
77,48,41,24.8,64.9,5.7,9.5,21.8,1.7,Basil
72,35,63,26.9,69.1,6.1,5.3,18.7,1.5,Basil
110,45,61,23.4,50.7,6.1,8.9,18.3,1.3,Basil
82,38,44,21.8,69.9,5.5,5.5,27.8,1.3,Basil
101,46,47,22.4,62.3,5.7,8.4,20.2,1.0,Basil
80,41,69,22.9,62.9,6.4,7.7,22.8,0.6,Basil
74,31,64,22.2,60.3,5.8,7.9,26.9,1.1,Basil
108,28,53,22.1,58.0,5.5,8.2,25.3,1.2,Basil
91,41,62,23.0,62.3,6.4,6.5,23.2,0.7,Basil
88,49,43,20.5,50.7,5.9,9.6,27.2,1.9,Basil
85,31,66,29.2,52.3,5.7,6.9,23.0,1.1,Basil
71,37,47,20.1,50.8,6.5,7.1,20.3,1.8,Basil
97,46,41,20.5,53.3,6.1,8.9,24.9,1.7,Basil
77,50,52,25.5,68.5,5.5,7.9,27.5,1.0,Basil
97,28,55,28.2,50.5,6.4,9.0,25.6,1.5,Basil
105,40,57,27.4,67.8,5.5,7.4,24.0,1.4,Basil
102,47,47,27.2,63.6,5.9,9.0,27.5,1.2,Basil
104,40,61,20.8,50.3,6.1,8.0,19.2,1.7,Basil
94,39,54,26.7,61.3,6.5,5.2,20.6,1.5,Basil
99,30,42,23.2,50.5,6.3,6.9,20.7,0.6,Basil
76,46,70,25.2,52.0,6.5,6.2,18.6,0.7,Basil
97,40,68,25.2,52.7,5.5,6.5,19.7,0.9,Basil
93,40,52,28.2,50.1,5.7,7.2,20.2,1.9,Basil
99,35,57,25.6,61.5,6.5,8.3,21.5,1.6,Basil
99,36,44,26.0,53.5,6.3,5.9,22.7,1.2,Basil
84,31,41,25.5,51.5,6.1,5.7,23.3,0.7,Basil
74,48,40,29.5,61.0,5.8,7.2,26.6,0.5,Basil
103,28,65,20.2,53.1,5.7,6.8,26.2,0.6,Basil
99,47,61,24.3,64.3,5.6,5.2,19.0,1.7,Basil
100,40,50,21.0,62.2,5.7,6.5,19.7,1.4,Basil
102,41,48,22.1,67.4,6.4,9.0,27.8,0.9,Basil
96,47,40,20.2,59.7,5.6,6.4,23.9,1.8,Basil
73,39,54,24.8,56.4,5.8,7.7,22.6,0.6,Basil
94,41,48,28.3,58.0,6.5,9.3,22.4,1.9,Basil
70,36,67,28.8,54.2,6.0,9.5,18.2,1.2,Basil
74,44,68,22.1,68.9,6.1,8.2,25.5,1.3,Basil
103,47,61,25.8,62.6,5.7,9.6,19.8,0.8,Basil
77,44,44,22.2,60.4,5.9,7.3,22.9,1.4,Basil
83,41,60,25.6,58.0,5.9,9.2,18.0,1.3,Basil
96,47,58,22.6,52.6,6.0,5.2,19.3,1.6,Basil
97,40,51,20.3,62.0,5.9,6.4,24.3,0.8,Basil
94,26,66,20.9,62.0,5.5,6.3,20.2,1.7,Basil
80,33,53,26.6,50.6,5.7,7.7,25.0,1.1,Basil
98,27,45,23.8,50.6,6.1,8.4,26.0,1.3,Basil
109,49,50,22.3,66.0,6.0,8.2,26.2,1.0,Basil
70,36,50,29.8,69.1,5.9,8.0,18.0,0.6,Basil
98,47,63,25.7,57.5,5.9,5.6,22.8,1.8,Basil
86,41,60,29.7,62.1,6.4,5.2,21.7,1.0,Basil
77,47,50,24.9,52.7,6.5,7.1,22.5,0.7,Basil
93,31,65,21.6,56.0,6.5,8.8,25.5,1.2,Basil
70,49,70,23.1,56.9,6.2,5.8,18.9,1.7,Basil
103,47,58,24.8,62.8,6.3,7.7,18.0,1.2,Basil
71,45,54,27.7,66.7,5.8,5.2,23.8,0.9,Basil
72,50,42,25.3,68.9,6.3,8.9,26.2,2.0,Basil
76,46,48,20.2,65.0,6.3,8.5,18.6,1.3,Basil
105,26,64,23.9,63.6,6.0,9.5,27.2,1.3,Basil
94,27,59,22.5,53.8,6.2,9.9,25.1,1.7,Basil
70,46,55,27.7,68.7,6.0,6.8,27.6,1.7,Basil
75,39,53,28.8,66.4,6.3,5.4,20.4,1.7,Basil
84,50,69,25.2,51.3,5.8,7.5,24.4,1.8,Basil
98,48,52,20.1,63.8,5.6,9.4,25.3,0.8,Basil
98,26,69,25.3,68.2,6.4,6.2,18.7,1.4,Basil
95,46,54,23.9,54.1,5.6,5.1,23.9,1.5,Basil
71,47,42,21.7,54.6,5.8,9.9,20.8,0.8,Basil
84,27,63,22.3,60.7,5.8,7.0,18.1,1.9,Basil
106,33,58,21.1,57.3,5.9,8.4,26.1,1.5,Basil
82,46,42,23.2,57.7,6.0,6.1,24.0,2.0,Basil
108,34,59,27.9,50.3,5.8,6.4,19.6,1.0,Basil
73,34,68,25.7,51.5,5.6,6.1,24.8,1.3,Basil
77,26,61,28.1,50.9,5.8,9.3,27.2,1.5,Basil
85,43,65,22.0,64.3,5.9,8.0,20.5,1.5,Basil
71,25,55,20.1,69.2,5.9,5.4,23.9,0.6,Basil
101,38,50,21.9,67.6,5.8,8.5,22.3,1.5,Basil
107,45,47,23.1,57.5,6.1,8.0,23.3,0.6,Basil
74,27,63,21.0,63.5,5.6,5.1,26.8,1.6,Basil
102,36,46,27.8,56.7,5.7,9.2,26.0,0.7,Basil
85,50,56,26.2,59.8,6.5,7.5,19.9,1.6,Basil
85,43,62,24.0,66.0,5.9,6.5,22.0,1.3,Basil
96,49,40,30.0,58.2,6.1,7.5,27.3,0.8,Basil
92,37,70,28.2,68.4,5.7,9.4,25.7,1.8,Basil
105,32,57,25.9,50.6,6.1,5.3,19.9,1.6,Basil
106,44,62,24.9,55.6,5.9,7.0,21.9,1.5,Basil
91,31,69,25.1,62.6,6.1,9.8,22.5,0.9,Basil
98,41,45,29.2,60.5,6.3,9.8,24.7,1.3,Basil
76,45,68,23.8,54.3,6.1,6.4,20.8,1.8,Basil
97,29,51,25.8,51.9,6.0,6.2,28.0,1.6,Basil
77,34,65,29.4,69.9,5.7,5.4,21.3,0.9,Basil
83,47,66,20.3,62.5,6.3,5.5,27.7,1.1,Basil
86,42,59,27.9,65.1,5.9,5.5,22.9,0.7,Basil
102,37,53,23.7,63.1,5.6,8.8,23.8,1.7,Basil
108,28,50,24.6,51.3,5.8,9.0,24.9,1.0,Basil
75,47,51,21.4,58.7,5.6,7.4,25.9,1.2,Basil
75,41,70,23.5,55.6,5.9,7.5,19.9,1.0,Basil
81,33,59,23.0,69.6,6.4,9.0,23.5,1.2,Basil
94,49,48,26.3,63.8,5.7,9.2,25.3,2.0,Basil
88,32,43,22.6,60.1,6.2,9.2,21.7,1.7,Basil
103,27,47,28.7,66.6,5.5,5.1,18.2,1.4,Basil
74,39,50,20.7,54.8,5.8,7.0,22.4,1.2,Basil
79,25,68,24.8,59.9,6.1,5.7,24.2,1.4,Basil
80,45,55,20.9,69.7,6.4,8.5,18.1,0.9,Basil
97,37,58,23.7,66.8,5.9,8.6,20.5,1.5,Basil
84,40,54,28.5,67.7,5.7,8.0,23.1,0.8,Basil
95,35,60,26.8,56.7,6.5,7.6,25.5,1.1,Basil
96,39,55,25.7,69.6,6.2,6.5,25.6,0.6,Basil
106,26,61,22.5,61.5,6.2,6.5,26.6,0.8,Basil
72,37,53,28.2,52.6,5.8,9.7,20.5,1.7,Basil
101,34,59,28.7,61.9,5.7,9.3,23.4,1.1,Basil
94,50,53,30.0,57.9,6.0,7.8,20.9,1.0,Basil
95,43,53,21.6,54.8,6.0,7.9,20.7,1.2,Basil
91,28,56,20.9,57.7,5.9,5.2,25.5,0.9,Basil
100,35,61,20.7,66.5,5.5,7.8,24.5,1.7,Basil
80,26,44,28.1,60.3,6.0,8.4,21.6,2.0,Basil
89,27,45,25.8,53.7,5.6,9.7,24.3,1.4,Basil
94,32,50,24.6,53.1,5.7,10.0,22.1,1.4,Basil
96,50,55,26.2,52.0,5.9,6.6,23.7,1.4,Basil
81,39,49,21.2,53.5,6.5,9.4,19.8,1.8,Basil
72,30,45,23.0,68.8,5.6,8.0,20.5,1.2,Basil
74,30,46,22.6,55.1,6.2,5.7,18.8,1.5,Basil
77,25,55,25.5,54.4,6.2,8.5,21.6,0.9,Basil
72,40,51,29.7,67.8,6.3,7.6,26.5,1.5,Basil
75,44,55,23.3,67.6,6.4,7.0,19.4,0.8,Basil
86,34,46,22.1,52.4,6.3,7.9,22.1,1.0,Basil
89,42,57,27.6,60.1,6.1,9.7,23.8,1.1,Basil
82,38,67,20.9,54.4,6.1,9.0,23.5,1.4,Basil
106,31,64,24.4,65.8,5.7,8.0,21.4,1.6,Basil
71,27,46,22.2,58.6,6.1,6.0,27.1,0.6,Basil
103,38,60,28.6,58.7,5.7,9.7,26.4,1.1,Basil
82,40,50,26.6,51.8,6.4,7.1,19.7,1.4,Basil
91,25,50,25.3,58.7,6.5,9.2,19.3,1.8,Basil
87,41,49,29.2,65.8,6.3,6.3,25.2,1.3,Basil
74,32,42,27.6,52.2,6.4,6.3,24.3,0.9,Basil
96,35,43,25.9,58.3,6.1,9.3,18.4,1.9,Basil
73,42,42,25.2,57.5,5.6,7.4,21.6,1.8,Basil
87,39,41,21.1,57.6,5.8,7.1,19.3,0.6,Basil
85,44,51,21.4,66.1,6.2,9.7,26.8,2.0,Basil
82,49,62,23.8,58.5,5.9,5.7,26.1,0.6,Basil
75,32,61,27.4,50.6,6.1,9.0,22.8,0.7,Basil
70,31,57,29.0,65.2,5.7,8.6,23.8,1.4,Basil
106,42,63,24.2,50.6,6.0,7.1,24.7,1.9,Basil
88,41,70,24.9,54.8,6.4,6.7,21.6,0.6,Basil
70,31,63,26.2,65.0,6.2,6.2,20.9,1.2,Basil
90,27,50,25.0,68.4,6.2,9.9,27.4,1.2,Basil
78,44,57,25.6,67.0,6.1,8.0,18.5,1.1,Basil
106,37,51,20.7,60.2,6.4,7.1,25.0,1.8,Basil
92,29,42,25.3,64.6,5.7,6.9,25.3,0.7,Basil
91,39,52,26.7,65.7,6.5,7.7,23.4,1.9,Basil
75,29,47,27.6,62.0,5.9,5.8,26.3,1.6,Basil
73,32,70,28.5,52.2,6.1,7.2,21.5,0.9,Basil
110,43,49,21.0,58.2,5.5,8.1,20.4,1.7,Basil
97,25,58,25.8,53.7,5.7,9.2,19.0,1.5,Basil
82,36,51,26.6,60.7,6.0,6.0,23.7,0.7,Basil
90,37,44,27.6,52.8,5.6,5.1,20.7,1.6,Basil
81,48,54,27.5,60.8,6.4,5.2,27.3,1.7,Basil
94,44,60,20.7,58.4,5.8,7.0,23.9,1.4,Basil
94,47,62,23.1,56.8,6.0,7.4,20.6,0.9,Basil
95,43,70,25.9,69.2,6.0,6.3,26.7,0.6,Basil
73,43,44,25.5,56.3,6.1,7.8,23.9,0.7,Basil
107,47,53,21.2,55.7,5.8,5.1,22.4,0.6,Basil
61,32,30,18.5,60.5,6.9,5.7,23.4,0.7,Mint
81,25,60,23.1,68.2,6.0,6.6,24.0,1.5,Mint
82,30,54,21.4,67.7,6.6,6.3,25.0,0.9,Mint
81,47,47,19.6,75.1,6.1,8.8,26.0,1.3,Mint
70,32,45,19.5,60.8,6.9,6.6,24.4,1.6,Mint
94,31,49,25.9,79.2,6.0,7.2,27.0,1.4,Mint
85,29,34,25.0,81.7,6.4,6.4,25.9,0.8,Mint
70,34,50,21.1,81.0,6.6,5.7,27.2,0.9,Mint
87,36,31,18.3,79.7,6.0,9.2,27.2,1.3,Mint
73,33,36,24.4,74.3,6.9,6.0,27.1,1.6,Mint
66,38,34,20.0,77.1,6.5,5.9,24.7,0.8,Mint
90,28,50,24.2,84.3,6.9,8.0,25.2,1.6,Mint
82,49,57,18.1,64.3,7.0,7.7,21.1,0.6,Mint
82,26,45,25.3,76.5,6.8,8.3,22.3,1.8,Mint
99,42,30,22.1,62.3,6.1,7.2,21.1,1.8,Mint
74,37,58,21.3,69.6,6.4,6.8,26.2,0.9,Mint
76,49,39,21.4,68.9,7.0,8.7,21.4,2.0,Mint
98,30,36,24.6,60.6,6.6,6.3,20.7,0.6,Mint
82,48,42,21.6,81.1,6.2,7.5,24.9,1.1,Mint
80,43,43,24.0,66.1,6.9,7.0,21.3,1.4,Mint
94,25,40,24.2,73.6,6.3,5.1,21.4,1.0,Mint
91,39,41,25.0,74.6,6.1,6.5,27.6,1.5,Mint
82,30,42,19.6,67.8,6.9,7.3,24.6,1.2,Mint
88,36,32,25.5,78.0,6.8,9.3,20.6,1.7,Mint
72,30,42,21.0,74.9,6.3,8.8,21.1,1.6,Mint
78,25,51,25.7,78.3,6.4,8.6,27.5,1.2,Mint
64,47,52,19.7,82.9,6.9,9.6,27.0,1.1,Mint
63,49,35,21.0,62.1,6.3,7.6,25.9,0.6,Mint
74,20,43,19.6,68.3,6.7,9.4,19.6,1.4,Mint
63,26,42,21.8,81.7,6.7,8.7,24.4,0.9,Mint
77,46,46,25.1,61.1,6.3,5.9,24.5,1.6,Mint
67,39,58,23.5,61.5,6.5,9.7,20.6,1.4,Mint
75,21,38,24.4,70.1,6.6,5.1,20.2,1.4,Mint
90,47,32,19.5,69.1,6.6,8.7,18.8,1.4,Mint
84,20,46,19.5,75.0,6.5,7.3,26.1,1.8,Mint
100,47,35,22.9,61.8,6.6,7.1,20.1,0.9,Mint
73,42,35,25.8,70.2,6.2,6.6,24.2,0.9,Mint
66,33,38,24.4,68.5,6.7,7.4,26.7,1.9,Mint
67,34,57,23.7,72.9,6.5,6.2,24.5,1.3,Mint
73,41,42,23.8,60.7,6.4,7.1,21.8,0.5,Mint
88,40,56,21.9,66.7,6.1,5.1,24.6,1.2,Mint
61,27,34,20.0,70.6,6.1,7.1,23.6,1.1,Mint
85,22,43,23.9,60.5,6.8,8.0,26.6,1.3,Mint
83,44,50,19.3,83.3,6.3,8.3,18.3,1.7,Mint
65,22,34,18.4,69.7,6.9,9.8,27.4,0.8,Mint
69,38,48,22.6,65.7,7.0,6.2,19.9,1.0,Mint
68,29,44,24.7,75.0,6.6,8.0,25.8,0.9,Mint
68,20,56,20.8,67.4,6.6,6.3,20.3,0.8,Mint
82,28,31,19.0,76.5,6.6,7.8,18.6,1.2,Mint
71,47,60,22.5,61.6,6.8,6.1,19.7,0.9,Mint
97,32,52,25.4,65.4,6.1,9.1,25.3,1.9,Mint
91,37,54,22.1,65.6,6.3,5.7,25.5,2.0,Mint
86,36,49,24.2,65.2,6.9,5.3,26.2,0.9,Mint
67,31,57,24.1,74.7,6.8,7.1,22.4,1.5,Mint
97,43,39,19.6,79.4,6.8,9.2,22.8,0.6,Mint
84,42,41,18.8,63.5,6.3,6.6,21.6,0.6,Mint
66,24,38,24.2,66.5,6.7,8.8,23.7,0.9,Mint
83,39,55,25.1,84.6,6.2,6.1,26.1,1.5,Mint
73,31,41,19.8,80.8,6.1,6.0,20.6,1.8,Mint
78,36,39,25.0,75.2,6.8,5.5,18.3,0.8,Mint
85,21,36,19.9,69.9,6.6,8.2,27.7,1.1,Mint
66,25,33,21.2,79.9,6.6,7.3,23.3,0.6,Mint
67,38,56,22.0,69.5,6.5,8.7,25.9,1.2,Mint
82,45,58,22.1,84.6,6.1,6.2,24.0,1.4,Mint
93,22,33,21.7,69.7,7.0,8.5,18.2,0.5,Mint
63,30,38,18.3,81.1,6.6,6.6,24.9,1.0,Mint
86,31,55,22.7,61.7,6.6,5.7,26.6,1.0,Mint
67,50,33,22.7,72.1,6.6,5.3,24.3,0.9,Mint
62,45,49,18.3,66.4,6.9,5.9,26.9,1.7,Mint
83,29,57,21.5,64.3,6.1,5.8,27.8,1.6,Mint
63,39,44,21.2,72.5,6.5,9.6,24.2,1.3,Mint
84,26,38,20.4,72.6,6.2,8.0,25.1,1.3,Mint
72,49,39,24.6,63.4,6.7,8.0,26.4,1.8,Mint
94,46,58,23.7,68.3,6.7,7.3,25.1,1.0,Mint
88,41,59,24.1,68.3,6.5,5.5,21.6,0.8,Mint
83,40,38,21.6,82.8,6.4,7.6,20.6,1.8,Mint
66,35,60,18.1,76.3,6.1,6.8,20.5,0.6,Mint
60,35,30,25.8,81.9,6.5,9.7,21.0,0.7,Mint
78,47,59,24.7,61.4,6.1,5.8,23.6,2.0,Mint
65,36,32,20.5,78.5,6.1,7.3,20.8,1.6,Mint
89,21,30,25.2,64.1,6.9,5.2,22.0,2.0,Mint
69,43,57,20.8,77.1,6.7,7.2,23.0,1.1,Mint
100,29,54,20.2,68.9,6.8,8.8,23.8,0.6,Mint
94,27,38,18.3,68.0,6.9,8.2,22.8,1.5,Mint
77,47,32,21.2,77.8,6.7,5.9,19.2,0.6,Mint
100,45,55,18.7,60.8,6.8,7.2,19.3,1.3,Mint
67,31,60,25.4,84.8,6.1,6.7,27.5,1.3,Mint
65,39,52,20.0,82.6,6.4,7.6,25.7,1.5,Mint
66,22,35,22.6,73.2,6.4,9.9,26.7,1.0,Mint
86,22,48,18.1,73.3,6.3,5.0,24.7,1.8,Mint
92,21,37,21.2,69.0,6.9,6.3,21.5,0.7,Mint
91,43,58,19.0,78.2,6.9,8.4,20.4,0.9,Mint
76,45,36,21.2,66.6,6.5,7.0,24.7,1.1,Mint
95,37,56,24.8,80.3,6.1,5.5,22.7,0.5,Mint
72,42,33,20.5,76.1,6.3,5.7,23.8,0.9,Mint
66,39,60,19.4,76.8,6.7,5.1,22.8,1.3,Mint
89,34,33,24.7,72.7,6.4,9.6,18.5,1.0,Mint
63,25,46,18.4,74.7,6.2,8.2,25.6,1.2,Mint
73,36,53,24.7,68.4,6.4,5.4,24.2,0.6,Mint
62,29,41,20.9,80.9,6.7,9.4,24.7,0.5,Mint
61,40,30,25.9,65.6,6.5,9.6,21.2,1.2,Mint
74,38,36,21.9,81.3,6.8,9.4,25.9,1.1,Mint
73,34,40,19.8,60.3,6.5,9.7,26.8,0.6,Mint
63,24,49,19.3,69.7,6.3,8.7,24.2,1.4,Mint
91,47,59,18.3,66.0,6.8,8.9,24.5,1.8,Mint
66,46,46,18.4,80.8,6.1,6.0,18.5,1.8,Mint
62,35,49,25.3,79.2,6.9,9.2,21.6,0.5,Mint
85,27,41,25.2,67.2,6.9,8.5,22.6,0.7,Mint
75,50,42,25.3,66.6,6.5,7.7,20.6,0.9,Mint
99,24,60,18.7,76.1,6.4,9.9,26.9,0.5,Mint
65,22,50,23.8,73.8,6.9,9.6,25.4,0.9,Mint
85,48,50,23.0,76.7,6.8,5.1,23.2,2.0,Mint
61,49,43,20.0,72.9,6.3,5.7,25.2,0.8,Mint
85,36,31,23.2,60.8,6.8,5.9,21.5,1.1,Mint
86,27,52,22.6,80.3,6.7,6.5,22.9,2.0,Mint
86,44,52,18.2,84.8,6.4,9.3,21.8,0.8,Mint
89,24,31,24.3,78.7,6.3,5.4,24.9,1.4,Mint
78,42,50,24.5,74.5,6.6,5.9,21.0,0.5,Mint
99,39,31,24.3,63.8,6.9,9.4,27.5,0.7,Mint
74,29,37,25.2,84.0,6.9,5.5,27.2,1.3,Mint
99,48,38,19.3,62.5,6.8,7.0,21.4,0.9,Mint
77,22,46,20.7,70.8,6.4,8.4,21.4,1.8,Mint
70,43,59,19.0,72.1,6.3,6.0,19.4,1.0,Mint
76,36,49,19.3,60.5,6.5,6.1,19.3,1.9,Mint
66,22,42,19.0,62.4,6.5,9.5,19.4,2.0,Mint
70,31,44,19.0,64.6,6.7,8.8,27.0,1.7,Mint
87,30,53,22.4,83.7,6.8,9.0,18.7,1.5,Mint
92,47,54,21.2,74.4,6.3,9.4,24.9,1.9,Mint
92,39,32,18.4,72.0,6.3,6.3,24.7,1.7,Mint
68,39,30,19.2,82.1,7.0,7.3,19.6,1.7,Mint
71,25,53,22.2,70.6,6.8,7.0,27.5,1.8,Mint
89,33,54,25.4,83.6,6.2,8.7,19.9,1.4,Mint
71,45,52,23.6,77.0,6.9,5.2,18.2,1.1,Mint
79,42,50,25.7,85.0,6.1,8.2,27.8,0.6,Mint
64,31,38,25.4,63.2,6.7,5.5,26.4,0.6,Mint
82,39,46,18.8,69.5,6.2,8.4,19.5,1.6,Mint
78,39,33,19.2,75.5,6.1,8.0,25.8,1.4,Mint
86,42,32,24.8,67.1,6.6,8.6,27.1,2.0,Mint
63,33,37,24.4,79.9,6.6,6.8,23.3,0.7,Mint
96,27,39,21.6,75.1,6.9,7.2,19.6,2.0,Mint
92,20,41,23.8,69.2,6.4,5.7,25.0,0.7,Mint
66,28,47,19.7,81.9,6.9,9.7,22.9,0.7,Mint
85,36,31,24.5,73.5,6.1,6.3,21.8,1.3,Mint
67,21,35,22.0,74.6,6.4,5.8,20.8,1.2,Mint
88,24,40,24.3,81.4,6.4,8.4,20.5,1.8,Mint
83,32,58,22.9,66.4,6.2,9.1,24.0,1.2,Mint
81,28,34,22.7,61.6,6.7,7.7,21.6,1.5,Mint
99,29,30,23.1,74.9,6.8,5.0,24.9,0.8,Mint
89,20,50,18.8,67.7,6.7,8.8,20.6,1.5,Mint
96,28,39,24.0,73.9,6.8,9.4,22.3,1.3,Mint
63,44,44,19.3,84.6,6.9,5.2,25.2,1.3,Mint
78,36,59,22.0,61.9,6.2,7.2,18.7,0.7,Mint
78,38,53,20.4,80.0,6.6,7.7,23.4,1.3,Mint
84,30,59,18.7,62.8,6.4,7.5,24.7,0.8,Mint
66,35,39,22.6,73.3,6.4,6.1,26.1,1.3,Mint
69,42,50,21.6,77.0,6.4,6.3,27.5,1.2,Mint
70,49,57,20.4,82.1,6.1,6.9,25.7,1.1,Mint
82,35,35,21.5,61.8,6.1,6.9,27.6,1.5,Mint
86,47,45,19.4,61.2,6.2,5.9,24.1,1.5,Mint
92,21,40,24.7,65.3,6.9,7.6,23.5,1.0,Mint
100,20,51,23.1,64.6,6.2,6.1,25.6,0.9,Mint
70,31,55,23.5,70.3,6.7,7.6,27.4,1.7,Mint
69,33,54,18.4,79.0,6.4,9.8,27.6,1.1,Mint
84,35,36,21.3,74.3,6.3,7.7,24.3,1.1,Mint
60,49,31,21.4,84.8,6.9,6.2,22.5,1.1,Mint
97,35,48,24.1,69.1,6.4,9.5,21.1,1.8,Mint
80,43,56,25.4,79.2,6.2,7.3,27.1,1.8,Mint
86,44,41,23.1,65.1,6.7,9.3,18.4,1.5,Mint
87,27,40,22.7,77.1,6.5,8.8,27.3,1.9,Mint
79,41,51,21.3,61.4,7.0,8.7,20.2,1.6,Mint
93,40,44,25.0,84.3,6.8,7.8,25.0,1.6,Mint
77,50,51,21.3,65.2,6.8,6.2,24.3,1.7,Mint
77,48,54,20.8,75.2,6.3,7.8,19.7,1.8,Mint
61,31,50,23.3,84.1,6.1,6.4,25.2,2.0,Mint
71,41,51,19.2,78.6,6.6,9.6,27.6,1.1,Mint
100,24,30,24.8,72.5,6.8,9.2,25.7,1.5,Mint
84,43,50,25.2,84.5,6.7,9.5,19.4,1.6,Mint
73,36,39,21.0,75.0,6.5,9.0,18.1,0.8,Mint
97,21,57,21.5,64.2,6.8,7.6,18.5,1.6,Mint
98,44,53,24.1,75.6,6.9,5.4,23.0,1.8,Mint
81,48,45,20.5,60.5,6.3,6.7,22.1,1.0,Mint
95,32,31,19.9,72.7,6.7,5.9,25.3,1.9,Mint
60,31,59,23.7,75.2,6.1,6.5,26.9,1.2,Mint
95,25,41,22.5,63.4,6.8,7.8,24.2,1.4,Mint
69,31,35,25.3,68.5,6.8,6.8,21.0,1.3,Mint
88,44,58,20.8,61.7,6.1,8.6,21.1,1.4,Mint
68,25,39,19.5,73.4,6.7,7.6,21.8,1.1,Mint
70,43,45,18.1,71.0,6.6,9.1,24.7,1.7,Mint
71,43,44,20.7,64.7,6.2,6.4,24.8,1.3,Mint
92,35,59,19.0,75.1,6.6,8.7,18.7,0.9,Mint
79,33,39,22.9,61.6,6.8,5.8,26.0,1.5,Mint
76,29,33,21.6,76.7,6.9,6.2,23.7,0.8,Mint
86,27,56,24.3,80.1,6.4,6.1,24.2,1.5,Mint
69,50,47,21.4,64.0,6.5,5.5,23.8,1.9,Mint
89,33,55,24.8,63.5,6.4,7.1,20.2,0.6,Mint
63,48,46,23.0,69.6,6.7,6.6,25.4,1.3,Mint
73,33,52,20.4,64.0,6.8,8.7,22.8,1.9,Mint
68,25,55,22.7,71.7,6.8,7.7,21.7,0.9,Mint
80,44,59,23.7,74.5,6.9,5.4,25.7,2.0,Mint
76,37,39,18.9,75.1,6.8,5.6,20.3,1.4,Mint
