N,P,K,temperature,humidity,ph,rainfall,health
111,15,143,23.9,66.7,5.9,292.8,Warning
24,37,203,21.0,28.0,4.5,61.6,Dangerous
36,127,171,25.6,82.4,7.3,70.0,Warning
68,64,47,16.3,41.3,6.4,128.0,Warning
61,70,60,43.7,97.2,5.3,48.2,Dangerous
131,38,181,38.0,94.2,8.1,61.3,Dangerous
64,118,98,17.5,86.7,6.2,129.9,Warning
118,128,24,34.0,47.5,7.0,153.0,Warning
12,20,185,25.9,28.0,5.6,42.1,Warning
139,21,148,16.1,99.5,7.1,280.2,Warning
32,134,30,15.5,20.1,5.0,220.8,Dangerous
69,27,174,20.8,41.1,6.5,255.7,Warning
22,38,140,21.6,87.5,4.4,139.0,Dangerous
56,32,35,14.6,56.0,7.1,38.5,Dangerous
97,122,185,19.0,33.3,5.5,105.9,Warning
140,19,12,43.2,91.3,5.0,135.7,Dangerous
85,139,81,18.2,73.7,7.5,74.2,Warning
118,101,9,16.9,36.4,5.3,76.0,Dangerous
88,123,46,20.0,93.2,8.4,67.4,Dangerous
35,4,15,24.5,85.8,7.6,252.0,Warning
100,88,90,28.3,25.7,5.3,281.6,Dangerous
117,39,192,15.3,82.7,8.8,90.5,Dangerous
113,138,25,34.4,24.8,8.7,66.8,Dangerous
25,16,26,34.0,77.3,6.6,116.7,Warning
87,142,186,33.6,46.2,8.4,149.9,Dangerous
18,28,146,18.0,83.7,5.5,98.1,Warning
57,89,43,31.0,28.9,5.7,233.1,Warning
104,35,34,43.5,55.4,7.2,107.1,Dangerous
38,53,98,18.2,90.2,4.9,103.2,Dangerous
100,33,76,10.3,74.8,5.8,227.4,Dangerous
29,138,196,17.6,65.4,7.3,241.5,Warning
82,64,74,36.3,44.9,7.2,147.3,Warning
111,71,14,30.2,20.5,6.6,197.0,Warning
78,40,156,19.1,97.2,8.8,175.6,Dangerous
116,7,8,35.7,50.3,7.0,60.9,Warning
25,18,131,19.7,66.0,8.9,229.8,Dangerous
66,90,187,20.5,62.8,5.1,49.5,Dangerous
106,107,203,16.3,80.5,6.4,172.2,Warning
1,82,128,10.0,24.1,8.9,28.1,Dangerous
119,29,92,40.2,49.8,6.2,183.7,Dangerous
129,92,50,43.6,49.0,4.4,230.2,Dangerous
136,48,164,41.0,80.4,6.4,154.5,Dangerous
42,90,122,41.3,57.9,8.0,86.5,Dangerous
8,59,20,15.9,35.4,4.9,44.6,Dangerous
104,94,93,35.8,85.8,7.8,163.7,Warning
65,114,146,20.5,90.9,4.9,48.4,Dangerous
121,1,53,35.7,24.1,6.7,212.0,Warning
58,105,117,35.0,70.5,8.5,169.8,Dangerous
34,21,66,22.7,89.1,6.1,291.5,Warning
132,132,73,38.2,63.2,7.3,43.7,Dangerous
91,76,125,22.3,94.7,5.1,130.0,Dangerous
28,23,108,15.3,38.3,4.1,281.6,Dangerous
102,134,84,44.7,53.5,5.3,135.3,Dangerous
123,127,66,14.4,96.6,4.5,72.6,Dangerous
121,22,118,23.6,70.3,8.1,218.7,Dangerous
7,38,142,13.0,71.4,5.0,56.4,Dangerous
90,125,41,36.0,24.1,5.4,37.7,Dangerous
48,94,25,25.1,25.4,4.6,36.1,Dangerous
11,2,134,31.7,35.2,8.0,220.5,Warning
76,133,185,36.4,70.1,7.3,150.2,Warning
29,125,30,21.4,72.7,6.0,75.2,Warning
61,67,7,25.0,98.8,5.1,184.8,Dangerous
80,22,32,23.0,44.0,7.8,44.1,Warning
20,63,45,33.8,85.9,7.3,73.5,Warning
84,116,140,27.0,89.8,8.4,116.8,Dangerous
38,85,30,25.2,53.2,4.3,185.2,Dangerous
42,27,58,14.0,89.3,7.4,146.9,Dangerous
117,57,2,19.2,47.5,8.8,282.9,Dangerous
115,32,129,32.6,79.6,7.5,249.2,Warning
46,72,184,36.1,64.1,6.9,89.2,Warning
98,140,161,18.6,35.0,4.0,35.3,Dangerous
80,131,86,14.7,94.8,6.9,212.1,Dangerous
104,34,42,21.7,33.2,8.3,256.1,Dangerous
106,118,147,11.6,27.5,5.9,270.5,Dangerous
49,131,2,13.7,66.3,8.0,194.0,Dangerous
9,66,99,36.1,37.3,4.3,215.0,Dangerous
22,7,106,10.4,88.3,6.2,63.7,Dangerous
103,111,137,10.2,69.2,8.8,285.5,Dangerous
10,48,49,31.3,86.2,5.3,37.5,Dangerous
138,55,100,14.5,54.6,4.6,24.8,Dangerous
25,80,57,15.1,45.0,8.6,42.0,Dangerous
112,137,154,20.8,70.9,5.2,88.2,Dangerous
11,37,68,16.1,45.0,6.3,99.8,Warning
93,9,100,30.0,44.5,4.9,146.9,Dangerous
84,96,58,24.1,30.8,6.8,159.9,Warning
43,67,147,38.7,78.3,7.7,96.7,Dangerous
138,77,164,26.7,81.6,5.4,151.8,Dangerous
73,25,90,41.5,49.0,6.3,221.1,Dangerous
81,140,82,30.3,47.4,7.5,85.3,Warning
18,73,125,25.6,20.1,9.0,205.6,Dangerous
131,68,37,25.4,22.7,4.1,246.7,Dangerous
88,49,118,16.8,69.7,6.6,41.4,Warning
7,84,147,27.2,33.2,4.1,125.8,Dangerous
73,3,141,32.5,72.0,7.6,121.3,Warning
119,119,32,20.4,50.5,8.2,218.1,Dangerous
13,134,168,34.5,87.7,7.2,52.7,Warning
42,81,197,34.7,89.6,9.0,128.5,Dangerous
34,114,20,19.4,65.7,4.4,269.7,Dangerous
38,52,39,20.2,33.2,8.5,85.1,Dangerous
100,30,105,42.7,69.0,5.0,288.7,Dangerous
116,26,51,36.8,98.7,8.8,30.5,Dangerous
113,81,119,13.7,93.6,6.2,124.3,Dangerous
93,34,30,30.5,96.2,4.8,131.0,Dangerous
73,132,89,15.7,30.5,8.6,250.3,Dangerous
130,49,18,32.6,35.5,8.5,34.5,Dangerous
128,57,7,31.1,46.6,6.5,163.1,Warning
75,116,172,24.6,95.6,6.8,171.0,Healthy
126,65,18,21.6,36.6,7.9,215.3,Warning
3,119,94,24.6,44.3,4.6,174.5,Dangerous
54,42,13,26.2,24.4,8.7,53.0,Dangerous
50,3,80,16.8,82.7,5.3,158.0,Dangerous
93,126,149,31.7,51.9,8.2,81.8,Dangerous
30,141,202,44.8,84.3,5.7,45.8,Dangerous
120,79,106,28.5,69.0,7.1,33.2,Healthy
98,126,64,25.4,45.1,6.2,165.0,Warning
52,32,56,43.7,29.0,6.6,212.3,Dangerous
64,29,93,21.4,70.0,5.9,24.9,Warning
67,7,92,41.5,61.9,6.5,170.2,Dangerous
37,31,80,17.3,33.0,6.0,264.9,Warning
135,27,26,18.2,63.7,5.3,114.1,Dangerous
31,131,146,15.2,62.4,6.8,291.3,Warning
110,94,68,32.9,92.7,7.5,187.9,Warning
67,118,189,33.9,63.0,6.5,185.8,Warning
95,0,149,44.1,21.6,7.9,208.3,Dangerous
87,116,195,27.3,43.1,6.4,128.2,Warning
90,11,8,23.3,80.6,5.7,160.4,Warning
100,69,36,12.2,63.9,6.8,114.9,Dangerous
131,55,155,43.1,87.0,7.0,51.0,Dangerous
109,110,121,19.1,95.6,4.1,217.0,Dangerous
20,26,76,20.2,44.0,6.9,295.0,Warning
70,58,73,24.5,75.3,6.7,121.5,Healthy
135,85,16,43.0,83.8,8.3,99.0,Dangerous
0,36,122,42.1,22.8,5.6,247.7,Dangerous
26,133,165,21.3,85.0,6.6,286.2,Warning
71,125,0,40.6,68.3,5.4,79.0,Dangerous
113,46,157,23.6,81.1,4.4,128.8,Dangerous
26,72,193,17.1,26.4,7.3,98.6,Warning
32,69,190,22.9,20.3,4.2,48.7,Dangerous
100,9,40,19.2,48.5,5.9,151.8,Warning
47,34,10,14.9,84.9,5.5,252.4,Dangerous
81,14,173,29.5,43.7,7.4,243.5,Warning
33,83,116,33.5,67.5,8.3,133.7,Dangerous
61,73,127,26.9,59.4,6.6,21.3,Healthy
115,137,105,19.5,39.6,4.0,274.8,Dangerous
117,111,200,23.9,55.9,5.3,193.9,Dangerous
49,0,167,18.0,83.1,5.1,248.7,Dangerous
12,122,50,33.8,78.4,4.3,145.5,Dangerous
62,62,21,18.9,63.7,8.3,222.3,Dangerous
8,127,82,29.5,32.1,7.2,288.3,Warning
102,10,94,21.6,60.6,7.3,215.8,Warning
122,2,40,15.1,76.0,8.6,186.2,Dangerous
119,9,175,18.6,51.7,5.3,167.9,Dangerous
105,45,141,39.8,24.2,7.3,31.8,Dangerous
114,61,110,34.7,63.6,9.0,190.0,Dangerous
117,13,86,27.3,24.5,7.3,74.9,Warning
52,82,33,44.3,86.4,4.4,287.4,Dangerous
47,26,151,36.6,39.8,6.5,254.1,Warning
99,130,137,18.2,45.7,7.8,141.2,Warning
60,111,83,36.8,86.3,8.3,59.5,Dangerous
7,75,3,16.6,68.6,5.9,30.4,Warning
21,80,170,35.8,69.7,8.0,89.1,Warning
26,138,53,32.7,87.6,6.6,173.8,Warning
19,36,192,44.9,59.6,5.9,206.2,Dangerous
111,118,152,30.2,36.3,4.1,34.8,Dangerous
37,117,86,29.8,97.0,8.2,220.7,Dangerous
23,121,95,21.0,83.3,6.3,32.7,Warning
31,96,146,32.8,53.3,7.7,121.4,Warning
131,75,108,30.0,45.8,4.4,246.7,Dangerous
36,93,37,34.9,89.1,5.7,67.5,Warning
101,53,54,38.7,45.8,8.5,61.0,Dangerous
137,139,30,21.6,89.7,4.9,275.0,Dangerous
87,109,21,39.8,47.6,6.4,87.8,Dangerous
48,0,22,15.5,60.2,8.9,206.5,Dangerous
81,6,192,29.9,47.8,4.2,247.6,Dangerous
74,44,83,16.2,39.2,7.5,42.8,Warning
21,134,144,39.2,28.9,5.2,98.1,Dangerous
123,67,197,10.5,44.6,4.9,288.6,Dangerous
93,14,92,34.6,33.3,5.1,273.1,Dangerous
15,78,42,30.0,32.6,4.7,76.9,Dangerous
75,3,182,43.8,52.2,5.0,185.6,Dangerous
132,44,134,35.8,49.8,5.1,37.6,Dangerous
6,121,140,42.0,53.1,4.7,285.7,Dangerous
30,85,121,33.1,67.6,5.5,223.9,Warning
30,44,35,37.1,79.5,6.4,286.5,Warning
51,76,171,22.2,26.3,6.0,90.8,Warning
5,71,4,12.2,95.8,8.3,66.2,Dangerous
10,78,81,20.6,84.2,5.4,101.1,Dangerous
114,128,95,27.9,38.1,8.8,139.3,Dangerous
87,102,37,15.2,75.5,8.0,240.1,Warning
82,120,186,25.4,68.6,7.8,83.1,Warning
117,0,28,43.7,38.5,6.6,57.3,Dangerous
33,140,10,22.0,64.0,4.5,30.6,Dangerous
95,131,128,38.3,59.6,5.4,281.4,Dangerous
42,23,123,23.1,45.7,6.8,166.5,Warning
61,126,85,25.6,87.6,8.3,229.2,Dangerous
97,69,0,37.7,60.6,7.1,238.9,Warning
115,5,160,21.5,86.2,4.9,167.4,Dangerous
124,80,145,24.9,89.5,5.7,70.1,Warning
90,128,165,30.8,94.7,5.1,249.8,Dangerous
51,41,186,44.1,86.1,4.9,96.8,Dangerous
8,26,33,28.6,88.5,5.4,97.2,Dangerous
59,48,111,28.2,78.9,8.1,23.2,Dangerous
98,107,140,43.8,35.4,4.5,151.4,Dangerous
97,99,166,37.6,70.9,4.1,83.4,Dangerous
94,59,49,44.4,75.0,6.5,214.6,Dangerous
126,32,53,35.2,66.5,5.8,258.5,Warning
137,20,59,27.0,89.4,6.3,55.2,Warning
73,49,189,30.8,47.3,5.6,41.9,Warning
102,102,56,25.1,92.6,6.5,227.3,Healthy
77,9,179,44.7,29.8,6.1,209.8,Dangerous
99,49,87,21.5,67.5,4.3,147.3,Dangerous
121,8,200,40.6,35.2,5.0,163.1,Dangerous
10,106,98,15.5,87.6,6.7,114.5,Warning
131,52,174,13.4,63.4,6.1,256.3,Dangerous
60,40,157,27.7,58.3,7.8,150.1,Warning
139,141,117,32.4,99.5,5.6,229.0,Warning
68,79,38,33.8,94.5,4.4,123.7,Dangerous
132,42,46,28.4,24.1,8.0,93.3,Warning
5,109,172,22.5,89.8,4.3,277.7,Dangerous
80,51,94,11.4,41.1,5.0,150.6,Dangerous
130,16,96,43.1,61.2,6.7,166.2,Dangerous
2,118,110,26.3,87.6,7.4,249.7,Warning
24,125,3,37.3,66.3,8.1,259.7,Dangerous
128,3,11,21.9,89.5,4.6,102.7,Dangerous
102,125,80,14.7,90.5,9.0,52.5,Dangerous
80,123,136,22.4,86.6,5.0,267.4,Dangerous
42,122,43,22.9,82.0,5.7,27.1,Warning
140,17,126,11.7,30.2,5.0,164.9,Dangerous
99,125,33,28.4,22.4,5.5,294.7,Warning
109,9,18,37.7,49.7,8.6,117.7,Dangerous
131,11,79,38.5,62.7,4.8,229.7,Dangerous
13,14,141,43.8,94.3,7.5,291.5,Dangerous
107,84,166,25.5,61.4,7.1,219.4,Healthy
12,4,29,44.2,74.2,7.0,290.2,Dangerous
76,94,169,20.6,67.3,8.4,32.6,Dangerous
11,109,195,15.1,94.3,5.6,238.4,Warning
106,128,50,11.5,69.2,9.0,22.6,Dangerous
104,103,53,36.7,63.8,6.5,265.8,Warning
106,123,57,41.8,50.5,7.0,232.4,Dangerous
76,92,67,30.0,70.0,4.9,279.3,Dangerous
139,41,88,11.8,99.0,8.0,291.8,Dangerous
8,110,59,43.0,90.0,7.6,83.6,Dangerous
24,25,128,20.7,88.7,5.7,80.7,Warning
91,27,191,23.9,43.5,6.0,297.3,Warning
103,132,203,24.9,29.2,7.7,199.0,Warning
62,109,122,14.7,44.5,4.2,117.4,Dangerous
16,85,28,15.0,71.8,4.1,134.6,Dangerous
36,19,181,35.6,70.5,4.1,298.3,Dangerous
104,33,119,24.9,97.0,8.7,71.2,Dangerous
69,77,195,29.7,83.5,4.5,103.8,Dangerous
110,14,27,21.8,57.8,4.0,232.7,Dangerous
100,39,184,34.0,87.9,4.6,94.6,Dangerous
119,49,138,27.0,84.3,5.6,146.5,Warning
24,23,106,34.1,45.6,4.7,256.9,Dangerous
38,111,138,10.8,80.7,6.3,35.5,Dangerous
38,50,80,41.2,62.7,5.9,284.7,Dangerous
140,129,36,27.2,70.9,8.5,41.5,Dangerous
138,138,101,16.6,93.9,6.6,34.4,Warning
123,29,113,26.6,87.6,7.7,179.2,Warning
85,123,165,20.4,25.8,6.0,259.4,Warning
70,111,175,28.8,75.6,4.4,74.1,Dangerous
63,39,101,11.7,64.7,9.0,267.8,Dangerous
77,16,73,18.4,69.0,5.3,247.6,Dangerous
78,9,116,28.0,86.4,4.4,222.0,Dangerous
127,103,3,20.5,42.6,8.8,28.4,Dangerous
72,97,103,23.5,25.8,8.2,87.1,Dangerous
132,17,116,34.8,57.4,5.9,227.7,Warning
121,82,205,36.6,45.8,9.0,93.6,Dangerous
34,32,33,25.2,54.1,6.6,152.1,Warning
106,67,45,28.4,80.1,7.0,235.3,Healthy
85,34,142,17.7,48.7,5.1,279.0,Dangerous
75,76,160,13.2,38.0,6.8,130.8,Dangerous
20,5,118,44.3,77.1,4.9,25.1,Dangerous
13,113,74,41.8,83.4,7.5,110.0,Dangerous
2,101,88,43.9,29.7,8.0,186.8,Dangerous
35,10,170,31.7,57.5,5.1,285.6,Dangerous
56,59,168,18.4,80.4,6.1,21.3,Warning
39,40,92,13.6,75.4,6.5,196.4,Dangerous
67,17,151,17.3,65.0,7.5,195.3,Warning
133,16,61,36.2,32.3,4.8,82.8,Dangerous
84,18,149,11.9,98.6,6.3,282.0,Dangerous
107,68,94,22.7,93.7,8.9,97.9,Dangerous
26,10,55,43.3,63.8,7.2,167.3,Dangerous
133,107,171,43.3,51.6,4.7,50.4,Dangerous
11,57,20,38.9,41.0,5.5,264.2,Dangerous
78,86,86,20.1,29.7,5.4,33.4,Dangerous
3,110,50,23.7,33.5,5.3,254.9,Dangerous
52,132,85,17.8,20.4,5.7,269.8,Warning
95,31,178,16.1,98.6,6.5,160.0,Warning
4,63,202,13.5,32.9,8.9,205.1,Dangerous
41,54,43,34.6,36.1,5.7,198.1,Warning
62,9,53,42.1,36.0,7.3,225.5,Dangerous
71,25,129,15.9,94.3,5.4,33.2,Dangerous
64,56,80,34.7,36.0,5.2,51.6,Dangerous
29,0,120,14.2,35.5,5.7,123.1,Dangerous
114,137,193,36.9,64.2,5.2,239.1,Dangerous
9,91,100,14.2,54.0,6.7,47.9,Dangerous
121,50,96,22.4,75.2,5.7,56.8,Warning
16,134,75,13.8,94.3,4.5,237.7,Dangerous
4,59,113,27.3,97.9,6.0,202.8,Warning
112,104,180,27.6,46.2,8.4,160.1,Dangerous
89,97,63,26.3,92.6,8.0,158.2,Warning
90,136,199,11.1,37.6,8.8,187.5,Dangerous
117,133,150,38.9,54.9,8.4,64.3,Dangerous
36,0,8,30.3,91.5,7.5,166.4,Warning
109,95,116,12.6,56.3,5.8,145.5,Dangerous
7,94,6,40.9,54.2,4.8,234.4,Dangerous
25,133,73,19.3,57.8,8.4,196.6,Dangerous
117,97,202,31.0,72.1,8.6,21.8,Dangerous
93,68,29,40.6,61.0,5.1,207.5,Dangerous
95,102,16,19.4,89.2,6.4,154.6,Warning
56,47,78,32.7,46.7,6.2,144.4,Warning
22,139,99,32.4,74.9,5.6,299.9,Warning
107,4,119,15.3,43.5,5.6,265.8,Warning
99,32,53,34.4,21.8,4.4,138.7,Dangerous
24,43,78,42.9,26.7,7.0,202.5,Dangerous
18,78,32,17.5,74.7,6.9,164.3,Warning
71,71,139,40.6,90.6,5.5,251.8,Dangerous
42,21,171,15.1,70.9,8.2,259.9,Dangerous
64,110,80,31.1,52.3,5.5,152.8,Warning
27,9,79,43.2,95.5,9.0,157.4,Dangerous
106,48,47,29.9,91.6,5.9,137.4,Warning
49,9,148,13.9,87.5,5.7,196.9,Dangerous
68,56,73,42.4,97.1,7.2,291.9,Dangerous
76,116,156,42.2,37.0,8.2,151.0,Dangerous
32,19,188,12.2,50.1,5.6,199.7,Dangerous
61,135,84,15.3,30.1,5.8,185.5,Warning
98,88,197,14.1,96.9,4.9,117.1,Dangerous
9,95,17,26.5,37.3,4.2,71.6,Dangerous
42,77,14,12.8,79.4,6.3,140.2,Dangerous
42,120,3,10.1,97.0,4.2,187.5,Dangerous
89,93,161,40.9,98.1,7.6,196.2,Dangerous
75,123,201,11.1,65.8,7.4,259.3,Dangerous
76,1,21,23.6,81.7,5.5,177.1,Warning
70,118,183,30.5,41.1,5.0,46.4,Dangerous
92,24,7,22.3,55.1,6.8,157.1,Warning
63,29,30,18.1,97.1,7.5,44.7,Warning
138,61,39,17.4,61.8,7.8,183.5,Warning
4,144,166,18.3,53.8,6.6,70.7,Warning
25,75,77,40.9,55.5,6.2,197.3,Dangerous
77,92,196,18.6,20.9,4.4,95.1,Dangerous
60,45,91,31.1,92.9,7.0,109.0,Warning
36,110,163,28.5,66.9,8.3,179.7,Dangerous
16,61,110,43.2,48.0,9.0,62.5,Dangerous
103,53,192,20.5,99.8,8.5,127.7,Dangerous
106,127,59,37.3,47.5,5.5,268.8,Warning
40,30,33,16.3,45.1,5.5,185.5,Warning
102,2,127,27.7,78.8,7.3,153.6,Warning
107,96,78,18.3,39.9,6.7,265.1,Warning
27,11,126,14.8,40.6,8.4,20.7,Dangerous
140,3,204,12.5,20.3,8.5,188.5,Dangerous
78,50,196,35.8,23.5,7.7,243.6,Warning
112,64,94,20.4,98.3,5.0,125.7,Dangerous
126,13,12,45.0,72.7,8.3,197.1,Dangerous
10,51,41,26.0,96.6,4.9,148.4,Dangerous
118,45,151,32.2,33.3,4.6,277.3,Dangerous
87,3,190,27.7,31.8,7.0,256.1,Warning
88,3,54,40.7,24.7,5.7,132.4,Dangerous
46,98,44,39.4,77.6,8.3,297.0,Dangerous
12,138,97,19.2,69.9,8.4,86.8,Dangerous
134,100,156,35.0,45.7,5.0,165.1,Dangerous
88,53,172,43.3,46.9,8.0,254.2,Dangerous
66,75,82,35.1,83.4,5.9,80.7,Warning
8,132,146,22.2,87.9,4.6,199.2,Dangerous
115,35,181,16.0,26.0,5.9,66.2,Warning
24,19,35,37.7,82.1,8.7,110.1,Dangerous
37,102,138,25.7,85.4,4.6,221.3,Dangerous
54,131,155,23.5,31.1,8.8,109.8,Dangerous
117,113,112,13.5,61.9,4.3,179.3,Dangerous
24,44,88,44.3,27.5,8.8,72.9,Dangerous
50,49,18,31.1,47.5,5.9,119.0,Warning
55,34,18,15.5,92.5,8.4,162.9,Dangerous
10,121,77,38.4,94.1,5.5,101.7,Dangerous
140,41,58,30.8,75.4,6.0,196.3,Warning
38,28,164,43.3,65.2,7.3,240.2,Dangerous
5,36,156,13.9,70.1,5.9,68.0,Dangerous
85,136,58,12.2,55.7,5.7,183.2,Dangerous
15,6,76,11.4,87.4,7.8,221.7,Dangerous
57,86,34,33.1,62.1,7.8,115.1,Warning
38,96,182,39.1,43.1,7.4,202.4,Dangerous
4,100,163,25.0,28.2,5.0,145.7,Dangerous
77,127,81,40.4,94.2,9.0,224.6,Dangerous
112,140,6,22.6,67.3,5.0,146.9,Dangerous
91,11,183,34.8,88.0,5.3,34.4,Dangerous
11,61,154,23.3,23.7,6.0,141.2,Warning
90,32,194,19.8,83.8,5.9,120.6,Warning
50,83,61,25.9,20.9,6.0,57.6,Warning
91,60,83,34.1,52.3,5.9,63.4,Warning
130,48,55,41.1,91.7,4.3,222.4,Dangerous
88,18,91,13.1,64.7,5.4,51.7,Dangerous
0,136,55,24.1,46.7,5.2,128.9,Dangerous
82,140,63,27.9,44.2,6.5,94.4,Warning
16,136,157,42.7,52.4,5.6,203.6,Dangerous
41,123,115,12.8,52.4,6.1,83.7,Dangerous
0,127,67,39.4,26.6,6.4,51.5,Dangerous
85,73,179,43.3,24.8,6.6,112.9,Dangerous
59,131,31,20.0,22.9,5.8,61.9,Warning
18,26,10,28.1,31.9,7.8,25.5,Warning
33,63,171,20.7,70.4,8.3,130.1,Dangerous
68,110,52,28.4,85.0,4.8,50.3,Dangerous
30,56,113,19.6,22.7,4.0,274.7,Dangerous
134,108,13,12.8,93.7,6.0,209.9,Dangerous
120,97,82,35.4,93.7,7.7,54.2,Warning
72,114,6,44.3,44.6,4.8,177.6,Dangerous
58,133,156,15.7,35.3,7.5,71.0,Warning
131,134,131,37.6,86.6,4.9,142.0,Dangerous
91,127,136,43.8,89.5,8.4,94.7,Dangerous
13,85,99,29.8,62.4,7.6,154.0,Warning
20,70,140,28.4,34.5,4.4,151.1,Dangerous
5,40,100,35.9,26.6,7.6,154.1,Warning
28,114,180,29.1,85.8,6.2,20.3,Warning
57,45,83,15.3,51.7,5.4,162.3,Dangerous
8,139,194,18.3,73.0,5.1,150.4,Dangerous
23,137,39,33.8,76.7,7.7,38.8,Warning
129,101,92,18.1,68.0,5.0,178.0,Dangerous
134,33,96,36.8,85.2,5.2,195.0,Dangerous
131,70,126,13.7,38.7,7.1,23.9,Dangerous
2,101,78,33.0,71.8,8.6,110.4,Dangerous
118,93,144,18.0,67.3,7.0,144.1,Warning
53,59,178,31.2,94.4,7.8,286.8,Warning
129,60,205,19.1,87.6,7.9,58.8,Warning
51,30,27,16.7,63.3,5.8,213.2,Warning
111,122,83,20.7,25.1,8.0,94.3,Warning
3,133,66,12.1,88.9,7.8,197.6,Dangerous
39,69,190,31.8,38.8,5.0,134.3,Dangerous
71,119,135,33.8,77.1,7.9,208.2,Warning
40,145,96,37.1,98.7,4.8,268.9,Dangerous
100,5,58,13.4,39.8,5.3,20.3,Dangerous
88,92,31,19.0,24.7,6.8,51.5,Warning
36,14,62,27.9,85.5,4.9,159.1,Dangerous
45,53,106,21.4,23.9,8.3,124.5,Dangerous
50,136,148,17.6,40.9,5.0,80.6,Dangerous
136,126,4,41.1,26.8,8.0,279.5,Dangerous
46,89,148,30.9,67.4,8.4,34.7,Dangerous
94,121,89,18.3,79.7,8.5,238.4,Dangerous
119,96,124,27.4,97.0,6.8,140.7,Healthy
94,40,62,40.8,37.3,5.7,102.6,Dangerous
47,0,182,33.4,58.5,4.6,206.9,Dangerous
99,92,182,12.2,81.5,8.7,85.8,Dangerous
33,110,58,13.2,68.1,8.2,121.3,Dangerous
105,125,29,36.6,97.8,8.9,242.8,Dangerous
48,62,174,37.2,72.6,4.3,230.8,Dangerous
2,114,122,15.8,83.0,7.4,181.8,Warning
34,15,193,43.9,22.7,8.3,112.7,Dangerous
128,48,26,34.7,54.6,6.4,262.9,Warning
79,66,192,21.9,24.2,7.8,215.7,Warning
99,73,124,39.4,60.1,8.7,155.9,Dangerous
51,62,5,32.8,98.2,8.6,89.9,Dangerous
0,118,127,37.8,42.6,5.8,202.8,Warning
61,64,146,16.4,71.6,4.8,146.2,Dangerous
118,41,179,35.7,47.5,4.6,216.8,Dangerous
46,93,182,27.1,49.9,6.3,275.8,Warning
75,22,46,17.8,52.2,5.6,293.5,Warning
93,10,150,29.1,20.0,4.9,43.9,Dangerous
126,86,34,29.8,26.9,4.5,64.3,Dangerous
99,97,106,29.7,46.6,8.6,26.4,Dangerous
14,44,58,28.1,54.5,8.0,20.6,Warning
39,114,186,37.6,85.6,4.1,187.5,Dangerous
26,22,50,29.5,58.1,5.6,288.6,Warning
56,93,121,14.7,90.1,4.0,219.2,Dangerous
58,116,44,43.8,61.9,8.5,25.8,Dangerous
106,70,26,27.4,51.3,4.6,168.6,Dangerous
94,7,62,31.5,71.2,9.0,209.8,Dangerous
138,66,59,20.1,97.3,6.6,171.0,Healthy
27,32,132,19.3,64.8,5.5,182.3,Warning
33,142,199,13.2,81.8,5.8,105.9,Dangerous
79,111,29,23.4,72.3,5.7,72.3,Warning
31,91,16,20.0,65.3,8.4,282.8,Dangerous
45,31,121,28.5,68.0,7.9,151.1,Warning
53,96,195,30.8,82.3,5.4,37.7,Dangerous
101,102,195,15.8,41.4,8.2,135.2,Dangerous
69,103,71,27.9,56.1,5.4,48.7,Dangerous
38,15,179,21.8,98.1,6.1,20.7,Warning
98,8,200,38.0,21.2,5.5,62.7,Warning
88,10,1,12.5,67.8,6.0,105.9,Dangerous
137,94,188,39.3,85.2,7.0,275.1,Dangerous
43,123,144,42.5,24.3,4.6,36.5,Dangerous
96,104,79,37.0,35.3,8.2,124.6,Dangerous
132,140,145,25.8,32.2,6.1,138.9,Warning
99,111,181,40.3,50.4,8.5,137.1,Dangerous
46,16,110,21.3,42.8,4.0,224.2,Dangerous
73,34,139,34.0,96.8,8.8,123.7,Dangerous
68,108,114,23.5,56.2,6.2,130.3,Healthy
74,6,104,23.1,97.9,8.8,94.6,Dangerous
128,59,53,10.1,95.2,8.3,63.7,Dangerous
108,115,47,40.7,59.9,5.0,31.4,Dangerous
43,70,177,41.5,86.0,6.7,269.1,Dangerous
37,119,72,40.1,51.1,5.8,143.0,Dangerous
45,22,192,44.0,45.0,6.2,188.4,Dangerous
5,65,144,36.6,64.5,4.6,32.4,Dangerous
32,16,170,16.0,72.1,6.9,137.0,Warning
101,94,193,26.6,83.2,8.8,129.5,Dangerous
89,19,60,35.2,55.0,7.1,217.8,Warning
3,130,38,31.0,38.3,6.8,52.1,Warning
109,122,51,14.1,69.1,5.2,294.4,Dangerous
40,143,37,35.5,81.0,8.1,117.2,Dangerous
126,130,138,18.3,22.7,7.4,71.5,Warning
135,50,19,36.5,83.5,8.9,198.2,Dangerous
73,80,182,36.2,82.3,6.4,65.1,Warning
123,28,185,20.3,35.5,4.4,299.6,Dangerous
71,117,88,15.9,85.8,4.7,297.8,Dangerous
109,58,125,11.2,21.5,5.1,117.1,Dangerous
115,73,162,23.8,72.7,8.1,299.6,Dangerous
69,85,93,16.4,54.8,4.8,227.2,Dangerous
116,38,90,21.6,98.0,6.7,205.4,Warning
13,129,67,16.4,49.4,7.4,126.0,Warning
62,75,28,38.2,54.5,8.7,206.0,Dangerous
32,74,7,12.7,80.7,5.5,22.1,Dangerous
92,2,26,25.7,44.5,6.5,229.0,Warning
64,35,50,19.8,53.0,4.8,263.4,Dangerous
119,53,107,16.5,45.4,7.7,112.7,Warning
